Code,Description,Units,total
CHFTABMK,Clean table - Make up,£7.92 EA,£7.92
CHFTABMK-,Clean table - Make up - Light clean,£4.96 EA,£4.96
CHFTABMK+,Clean table - Make up - Heavy clean,£11.24 EA,£11.24
CHFTABO,Clean table - Occasional,£7.18 EA,£7.18
CHFTABO-,Clean table - Occasional - Light clean,£5.24 EA,£5.24
CHFTABO+,Clean table - Occasional - Heavy clean,£10.06 EA,£10.06
CHFTABO<,Clean table - Occasional - Small,£5.40 EA,£5.40
CHFTABO<-,Clean table - Occasional - Small - Light clean,£3.55 EA,£3.55
CHFTABO<+,Clean table - Occasional - Small - Heavy clean,£7.51 EA,£7.51
CHFTABO>,Clean table - Occasional - Large/ornate,£8.43 EA,£8.43
CHFTABO>-,Clean table - Occasional - Large/ornate - Light clean,£6.70 EA,£6.70
CHFTABO>+,Clean table - Occasional - lLrge/ornate - Heavy clean,£11.24 EA,£11.24
CHFTABOP,Clean table - Occasional - Patio,£6.64 EA,£6.64
CHFTABOP-,Clean table - Occasional - Patio - Light clean,£4.24 EA,£4.24
CHFTABOP+,Clean table - Occasional - Patio - Heavy clean,£8.05 EA,£8.05
CHFTABPB,Clean table and benches - Patio - Redwood,£22.92 EA,£22.92
CHFTABPB-,Clean table and benches - Patio - Redwood - Light clean,£18.78 EA,£18.78
CHFTABPB+,Clean table and benches - Patio - Redwood - Heavy clean,£28.42 EA,£28.42
CHFTABPCH,Clean table and chair set - Patio,£22.92 EA,£22.92
CHFTABPCH-,Clean table and chair set - Patio - Light clean,£15.12 EA,£15.12
CHFTABPCH+,Clean table and chair set - Patio - Heavy clean,£28.42 EA,£28.42
CHFTABT,Clean table - Typing,£7.82 EA,£7.82
CHFTABT-,Clean table - Typing - Light clean,£4.82 EA,£4.82
CHFTABT+,Clean table - Typing - Heavy clean,£10.37 EA,£10.37
CHFTABT<,Clean table - Typing - Small,£4.96 EA,£4.96
CHFTABT<-,Clean table - Typing - Small - Light clean,£3.63 EA,£3.63
CHFTABT<+,Clean table - Typing - Small - Heavy clean,£7.91 EA,£7.91
CHFTABT>,Clean table - Typing - Large,£10.31 EA,£10.31
CHFTABT>-,Clean table - Typing - Large - Light clean,£6.70 EA,£6.70
CHFTABT>+,Clean table - Typing - Large - Heavy clean,£13.77 EA,£13.77
CHFTABW,Clean table - Wicker,£15.00 EA,£15.00
CHFTABW-,Clean table - Wicker - Light clean,£10.00 EA,£10.00
CHFTABW+,Clean table - Wicker - Heavy clean,£18.03 EA,£18.03
CHFTVST,Clean television stand,£7.80 EA,£7.80
CHFTVST-,Clean television stand - Light clean,£6.23 EA,£6.23
CHFTVST+,Clean television stand - Heavy clean,£10.62 EA,£10.62
CHFWAL,Clean wall shelf unit,£14.09 LM,£14.09
CHFWAL-,Clean wall shelf unit - Light clean,£9.80 LM,£9.80
CHFWAL+,Clean wall shelf unit - Heavy clean,£19.37 LM,£19.37
CHFWARD,Clean wardrobe,£22.79 EA,£22.79
CHFWARD-,Clean wardrobe - Light clean,£11.74 EA,£11.74
CHFWARD+,Clean wardrobe - Heavy clean,£31.85 EA,£31.85
,G)CLD CLADDING ,,
CLDCLAD,Cladding - PVCu,£72.01 M2,£72.01
CLDFP175,Fascia - 18mm x 175mm - PVCu - White,£21.42 LM,£21.42
CLDFP175+,Fascia - 18mm x 175mm - PVCu - Coloured,£25.32 LM,£25.32
CLDFP225,Fascia - 18mm x 225mm - PVCu - White,£27.05 LM,£27.05
CLDFPVCF,Fascia - PVCu - Labour only,£13.67 LM,£13.67
CLDFW25,Fascia - 25mm x 200mm - Softwood - Treated,£16.81 LM,£16.81
CLDFW25<,Fascia - 25mm x 175mm - Softwood - Treated,£14.96 LM,£14.96
CLDFW25>,Fascia - 25mm x 225mm - Softwood - Treated,£18.26 LM,£18.26
CLDFWF,Fascia - Softwood - Labour only,£9.08 LM,£9.08
CLDLAB,Cladding - Installer - Per hour,£31.54 HR,£31.54
CLDLABL,Cladding - General Labourer - Per hour,£24.21 HR,£24.21
CLDMN,Cladding - Minimum trade rate,£94.72 EA,£94.72
CLDPC,PC sum - Cladding,£0.00 EA,£0.00
CLDSP175,Soffit - 9mm x 175mm - PVCu - White,£24.38 LM,£24.38
CLDSP175+,Soffit - 9mm x 175mm - PVCu - Coloured,£29.48 LM,£29.48
CLDSPV175,Soffit - 9mm x 175mm - PVCu - White - Vented or grooved,£27.74 LM,£27.74
CLDSPVCF,Soffit - PVCu - Labour only,£17.56 LM,£17.56
CLDSW150,Soffit - 6mm x 150mm - WBP plywood soffit panel,£21.06 LM,£21.06
CLDSW225,Soffit - 6mm x 225mm - WBP plywood soffit panel,£21.79 LM,£21.79
CLDSWF,Soffit - WBP plywood soffit panel - Labour only,£17.56 LM,£17.56
CLDSWV150,Soffit - 6mm x 150mm - WBP plywood soffit panel - Vented,£22.87 LM,£22.87
CLDSWV225,Soffit - 6mm x 225mm - WBP plywood soffit panel - Vented,£23.27 LM,£23.27
,G)CLM CONT: CLEAN - LAMPS OR VASES ,,
CLMFLC,Clean floor lamp - Crystal (no shade),£20.40 EA,£20.40
CLMFLC-,Clean floor lamp - Crystal - Light clean,£16.80 EA,£16.80
CLMFLC+,Clean floor lamp - Crystal - Heavy clean,£28.12 EA,£28.12
CLMFLF,Clean floor lamp - Flat finish (no shade),£13.40 EA,£13.40
CLMFLF-,Clean floor lamp - Flat finish - Light clean,£9.94 EA,£9.94
CLMFLF+,Clean floor lamp - Flat finish - Heavy clean,£20.31 EA,£20.31
CLMFLG,Clean floor lamp - Gloss finish (no shade),£10.00 EA,£10.00
CLMFLG-,Clean floor lamp - Gloss finish - Light clean,£6.46 EA,£6.46
CLMFLG+,Clean floor lamp - Gloss finish - Heavy clean,£13.52 EA,£13.52
CLMLAB,Cleaning - Lamps or vases - Per hour,£21.37 HR,£21.37
CLMLABM,Cleaning - Technician incl. cleaning agent - Per hour,£22.21 HR,£22.21
CLMLABR,Cleaning - Remediation Technician - Per hour,£21.70 HR,£21.70
CLMLABS,Cleaning - Supervisory/Administrative - Per hour,£23.11 HR,£23.11
CLMLMSHC,Clean lamp shade - Cloth,£10.00 EA,£10.00
CLMLMSHC-,Clean lamp shade - Cloth - Light clean,£8.17 EA,£8.17
CLMLMSHC+,Clean lamp shade - Cloth - Heavy clean,£11.34 EA,£11.34
CLMLMSHP,Clean lamp shade - Plastic,£6.52 EA,£6.52
CLMLMSHP-,Clean lamp shade - Plastic - Light clean,£5.06 EA,£5.06
CLMLMSHP+,Clean lamp shade - Plastic - Heavy clean,£8.35 EA,£8.35
CLMREST,Provisional sum - Special - Clean/restore lamps & vases,£0.00 EA,£0.00
CLMTLC,Clean table lamp - Crystal (no shade),£20.40 EA,£20.40
CLMTLC-,Clean table lamp - Crystal - Light clean,£16.80 EA,£16.80
CLMTLC+,Clean table lamp - Crystal - Heavy clean,£28.12 EA,£28.12
CLMTLF,Clean table lamp - Flat finish (no shade),£13.40 EA,£13.40
CLMTLF-,Clean table lamp - Flat finish - Light clean,£9.94 EA,£9.94
CLMTLF+,Clean table lamp - Flat finish - Heavy clean,£20.31 EA,£20.31
CLMTLG,Clean table lamp - Gloss finish (no shade),£10.00 EA,£10.00
CLMTLG-,Clean table lamp - Gloss finish - Light clean,£6.46 EA,£6.46
CLMTLG+,Clean table lamp - Gloss finish - Heavy clean,£13.52 EA,£13.52
CLMVSF,Clean vase - Flat/etched finish,£4.64 EA,£4.64
CLMVSF-,Clean vase - Flat/etched finish - Light clean,£2.93 EA,£2.93
CLMVSF+,Clean vase - Flat/etched finish - Heavy clean,£5.86 EA,£5.86
CLMVSF<,Clean vase - Flat/etched finish - Small,£3.39 EA,£3.39
CLMVSF<-,Clean vase - Flat/etched finish - Small - Light clean,£2.39 EA,£2.39
CLMVSF<+,Clean vase - Flat/etched finish - Small - Heavy clean,£5.24 EA,£5.24
CLMVSF>,Clean vase - Flat/etched finish - Large,£7.56 EA,£7.56
CLMVSF>-,Clean vase - Flat/etched finish - Large - Light clean,£6.05 EA,£6.05
CLMVSF>+,Clean vase - Flat/etched finish - Large - Heavy clean,£9.14 EA,£9.14
CLMVSG,Clean vase - Gloss finish,£2.99 EA,£2.99
CLMVSG-,Clean vase - Gloss finish - Light clean,£2.39 EA,£2.39
CLMVSG+,Clean vase - Gloss finish - Heavy clean,£3.51 EA,£3.51
CLMVSG<,Clean vase - Gloss finish - Small,£2.02 EA,£2.02
CLMVSG<-,Clean vase - Gloss finish - Small - Light clean,£1.54 EA,£1.54
CLMVSG<+,Clean vase - Gloss finish - Small - Heavy clean,£2.41 EA,£2.41
CLMVSG>,Clean vase - Gloss finish - Large,£5.86 EA,£5.86
CLMVSG>-,Clean vase - Gloss finish - Large - Light clean,£4.59 EA,£4.59
CLMVSG>+,Clean vase - Gloss finish - Large - Heavy clean,£7.80 EA,£7.80
CLMVSW,Clean vase - Wicker,£10.00 EA,£10.00
CLMVSW-,Clean vase - Wicker - Light clean,£8.96 EA,£8.96
CLMVSW+,Clean vase - Wicker - Heavy clean,£11.92 EA,£11.92
CLMVSW<,Clean vase - Wicker - Small,£3.39 EA,£3.39
CLMVSW<-,Clean vase - Wicker - Small - Light clean,£2.39 EA,£2.39
CLMVSW<+,Clean vase - Wicker - Small - Heavy clean,£5.86 EA,£5.86
CLMVSW>,Clean vase - Wicker - Large,£13.40 EA,£13.40
CLMVSW>-,Clean vase - Wicker - Large - Light clean,£11.74 EA,£11.74
CLMVSW>+,Clean vase - Wicker - Large - Heavy clean,£15.76 EA,£15.76
,H) CLN CLEANING ,,
CLNA,Clean architrave,£0.55 LM,£0.55
CLNACT,Clean acoustic ceiling tile,£2.38 M2,£2.38
CLNAV,Clean {V},£2.00 M2,£2.00
CLNAV-,Clean {V} - Light,£1.51 M2,£1.51
CLNAV+,Clean {V} - Heavy,£2.49 M2,£2.49
CLNAVT,Clean hand textured ceiling,£2.31 M2,£2.31
CLNAW,Clean external masonry - Acid wash,£4.05 M2,£4.05
CLNAWMN,Clean external masonry - Acid wash - Minimum trade rate,£64.17 EA,£64.17
CLNAWN,Clean awning - Alum./canvas/vinyl,£17.58 EA,£17.58
CLNBAC,Clean bath accessory,£3.72 EA,£3.72
CLNBAL,Clean balustrade,£4.50 LM,£4.50
CLNBAR,Clean light bar,£9.59 EA,£9.59
CLNBAR<,Clean light bar - Small,£7.36 EA,£7.36
CLNBAR>,Clean light bar - Large,£11.03 EA,£11.03
CLNBATH,Clean bath,£9.36 EA,£9.36
CLNBATHF,Clean bathroom fixtures,£44.19 EA,£44.19
CLNBATHF>,Clean bathroom fixtures - Large bathroom,£63.03 EA,£63.03
CLNBEDR,Clean bath enclosure - Sliding glass doors,£24.44 EA,£24.44
CLNBF,Clean door - Bifold set (per side),£7.62 EA,£7.62
CLNBF<,Clean door - Bifold - Single (per side),£3.81 EA,£3.81
CLNBFAN,Clean bathroom extractor fan,£14.64 EA,£14.64
CLNBID,Clean bidet,£11.37 EA,£11.37
CLNBK,Clean bookcase,£6.36 M2,£6.36
CLNBLND,Clean window blind - Horizontal or vertical,£7.25 M2,£7.25
CLNBLR,Clean boiler unit,£45.37 EA,£45.37
CLNBM,Clean beams - Exposed,£2.54 LM,£2.54
CLNBP,Clean door - Bypass set (per side),£7.62 EA,£7.62
CLNBSCLN,Builders clean,£159.61 DA,£159.60
CLNBSTAP,Clean bath / shower tap,£7.33 EA,£7.33
CLNBSUR,Clean bath and surround,£18.64 EA,£18.64
CLNC,Clean cooker,£22.27 EA,£22.27
CLNCB,Clean cove base moulding - Rubber or vinyl,£0.57 LM,£0.57
CLNCH,Clean cooker hood,£8.83 EA,£8.83
CLNCHAN,Clean chandelier,£22.55 EA,£22.55
CLNCHAN+,Clean chandelier - Above average detail,£41.61 EA,£41.61
CLNCHAN++,Clean chandelier - With crystal,£70.21 EA,£70.21
CLNCHROKL,Clean chimney - Creosote removal from chimney liner,£215.95 EA,£215.90
CLNCHSW,Chimney sweep - Clean and service fireplace,£107.97 EA,£107.90
CLNCLDM,Clean cladding - Metal or vinyl,£1.81 M2,£1.81
CLNCLDW,Clean cladding - Wood,£2.13 M2,£2.13
CLNCNC,Clean concrete on {V},£1.69 M2,£1.69
CLNCNCSTP,Clean concrete step,£3.03 EA,£3.03
CLNCNR,Clean corner trim,£0.64 LM,£0.64
CLNCRN,Clean cornice/plaster coving moulding,£0.74 LM,£0.74
CLNCU,Clean consumer unit panel,£5.55 EA,£5.55
CLNCUR,"Clean curtain - Per pleat, 90cm to 180cm length - Unlined",£2.13 PL,£2.13
CLNCUR+,"Clean curtain - Per pleat, 90cm to 180cm length - Lined",£3.11 PL,£3.11
CLNCUR>,"Clean curtain - Per pleat, 180cm to 240cm length - Unlined",£3.67 PL,£3.67
CLNCUR>+,"Clean curtain - Per pleat, 180cm to 240cm length - Lined",£4.04 PL,£4.04
CLNCUR>>,"Clean curtain - Per pleat, 240cm to 300cm length - Unlined",£4.49 PL,£4.49
CLNCUR>>+,"Clean curtain - Per pleat, 240cm to 300cm length - Lined",£5.05 PL,£5.05
CLNCURHW,Clean curtain hardware,£8.78 EA,£8.78
CLNCURP,Clean curtain pelmet - Not pleated,£10.86 EA,£10.86
CLNCURPP,Clean curtain pelmet - Pleated,£3.11 PL,£3.11
CLNDODR,Clean and deodorise building - Hot thermal fog,£1.18 M3,£1.18
CLNDODRCRY,Solid odour counteractant - Crystal or solid block,£10.18 DA,£10.18
CLNDODRM,Additional odour-counteractant membrane - Per 24 hr,£1.48 DA,£1.48
CLNDODRMEM,Membrane odour-counteractant system - Per 24 hr,£25.23 DA,£25.23
CLNDODROZ,Clean and deodorise building - Ozone treatment,£1.08 M3,£1.08
CLNDODRSP,Apply odour counteractant - Liquid spray,£1.08 M2,£1.08
CLNDOR,Clean door (per side),£3.78 EA,£3.78
CLNDOR+,Clean door - With detail (per side),£5.64 EA,£5.64
CLNDORB,Clean door chime,£5.24 EA,£5.24
CLNDORH,Clean door hardware,£3.49 EA,£3.49
CLNDR,Clean dado/picture rail,£0.60 LM,£0.60
CLNDVENT,Clean dryer vent,£7.21 LM,£7.21
CLNDW,Clean dishwasher,£14.27 EA,£14.27
CLNEC,Clean evaporative cooler,£30.93 EA,£30.93
CLNECDIF,Clean evaporative cooler diffuser,£8.14 EA,£8.14
CLNF,"Clean floor, strip & wax",£4.80 M2,£4.80
CLNF-,Clean floor,£2.17 M2,£2.17
CLNF+,"Clean floor, strip & wax - Several layers of wax",£5.88 M2,£5.88
CLNFAC,Clean fascia,£1.19 LM,£1.19
CLNFAN,Clean ventilation/extractor fan,£8.32 EA,£8.32
CLNFANA,Clean attic or whole house fan,£13.50 EA,£13.50
CLNFCC,Clean and deodorise carpet,£2.34 M2,£2.34
CLNFCCMN,Clean carpet - Minimum trade rate,£64.11 EA,£64.11
CLNFCCPC,Re-apply protective coating on carpet,£1.22 M2,£1.22
CLNFCCSTN,Clean and deodorise carpet - Heavy staining,£3.47 M2,£3.47
CLNFCCSTP,Clean carpet - Cleaning charge per step,£2.22 EA,£2.22
CLNFCCSTP+,Clean carpet - Cleaning charge per step - Heavy,£3.09 EA,£3.09
CLNFCOR,Clean floor and seal - Cork,£4.94 M2,£4.94
CLNFCS,Clean floor - Stone,£3.67 M2,£3.67
CLNFCT,Clean floor - Tile,£3.34 M2,£3.34
CLNFCW,Clean floor and seal - Wood,£3.64 M2,£3.64
CLNFIREC,Clean ceiling - Fire damage,£4.03 M2,£4.03
CLNFIREW,Clean wall - Fire damage,£2.98 M2,£2.98
CLNFL,Clean light fixture - Fluorescent,£7.34 EA,£7.34
CLNFL>,Clean light fixture - Fluorescent - Large,£10.83 EA,£10.83
CLNFLD,Clean folding door (per side),£5.64 EA,£5.64
CLNFN,Clean ceiling fan and light,£13.53 EA,£13.53
CLNFN<,Clean ceiling fan w/out light,£9.04 EA,£9.04
CLNFNTN,Clean drinking fountain,£18.24 EA,£18.24
CLNFOIL,Clean wallpaper - Foil,£3.29 M2,£3.29
CLNFPL,Clean fireplace face & mantel,£7.94 M2,£7.94
CLNFPS,Clean floor and prep for overlay of subfloor,£3.20 M2,£3.20
CLNFR,Clean door - French (per side),£11.56 EA,£11.56
CLNFR2,Clean door - French double door set (per side),£23.07 EA,£23.07
CLNFW,Clean foundation wall,£3.45 M2,£3.45
CLNGD,Clean garage door & hardware,£22.05 EA,£22.05
CLNGD>,Clean garage door & hardware - Large,£31.56 EA,£31.56
CLNGDO,Clean garage door opener,£13.72 EA,£13.72
CLNGDOR,Clean fireplace glass doors,£12.57 EA,£12.57
CLNGDOR-,Clean fireplace glass doors - Light,£9.04 EA,£9.04
CLNGLS,Clean glazed store front - Glass and aluminium,£2.46 M2,£2.46
CLNGN,General clean-up,£21.38 HR,£21.38
CLNGRAFF,Clean graffiti,£23.05 M2,£23.05
CLNGRAFF-,Clean graffiti - Light,£17.29 M2,£17.29
CLNGRASS,Clean wallpaper - Grass cloth,£5.34 M2,£5.34
CLNGRIL,Clean ornamental iron grill,£8.06 M2,£8.06
CLNGUT,Clean gutter/downpipe,£1.00 LM,£1.00
CLNH,Clean hob,£12.65 EA,£12.65
CLNH-,Clean hob - Light,£8.28 EA,£8.28
CLNHMF,Clean humidifier unit,£21.96 EA,£21.96
CLNHR,Clean handrail - Wall mounted,£0.92 LM,£0.92
CLNHRTH,Clean fireplace hearth,£7.90 M2,£7.90
CLNIC,Clean intercom station,£7.99 EA,£7.99
CLNIC-,Clean intercom station - Light,£5.32 EA,£5.32
CLNJST,Clean floor or roof joist system,£5.37 M2,£5.37
CLNKBAS,Clean kitchen base units - Inside and out,£20.73 LM,£20.73
CLNKBASF,Clean kitchen base units - Faces only,£12.12 LM,£12.12
CLNKT,Clean tall kitchen units - Inside and out,£36.21 LM,£36.21
CLNKTF,Clean tall kitchen units - Faces only,£28.97 LM,£28.97
CLNKW,Clean kitchen wall units - Inside and out,£20.73 LM,£20.73
CLNKWF,Clean kitchen wall units - Faces only,£12.12 LM,£12.12
CLNLAB,Cleaning - Technician - Per hour,£21.37 HR,£21.37
CLNLABF,Cleaning - Floor Cleaning Technician - Per hour,£21.35 HR,£21.35
CLNLABM,Cleaning - Technician incl. cleaning agent - Per hour,£22.21 HR,£22.21
CLNLABR,Cleaning - Remediation Technician - Per hour,£21.70 HR,£21.70
CLNLABS,Cleaning - Supervisory/Administrative - Per hour,£23.11 HR,£23.11
CLNLIT,Clean light fixture,£5.53 EA,£5.53
CLNLIT+,Clean light fixture - High detail,£11.05 EA,£11.05
CLNLL,Clean loft ladder,£17.11 EA,£17.11
CLNLP,Clean light diffusing panel,£3.54 M2,£3.54
CLNLVR,Clean door - Full louvre unit (per side),£11.01 EA,£11.01
CLNLVRH,Clean door - Half louvre unit (per side),£7.36 EA,£7.36
CLNMAS,Clean masonry,£3.27 M2,£3.27
CLNMC,Clean mirrored bathroom cabinet,£7.33 EA,£7.33
CLNMC>,Clean mirrored bathroom cabinet - Large,£11.05 EA,£11.05
CLNMCH,Clean chimney - Metal,£1.50 LM,£1.50
CLNMIR,Clean mirror,£3.99 M2,£3.99
CLNMN,Cleaning - Minimum trade rate,£64.17 EA,£64.17
CLNMTIL,Clean mirror tile,£3.99 M2,£3.99
CLNMTLR,Clean metal roofing,£1.51 M2,£1.51
CLNMW,Clean microwave - Over hob,£9.11 EA,£9.11
CLNOL,"Clean phone, TV, or speaker socket",£1.39 EA,£1.39
CLNOP,Clean door / window opening (per side),£6.77 EA,£6.77
CLNOPLM,Clean door / window opening (per metre),£1.32 LM,£1.32
CLNORI,Clean ornamental iron handrail,£4.50 LM,£4.50
CLNORIG,Clean ornamental iron security grill,£4.91 M2,£4.91
CLNOS,Clean socket or switch,£1.81 EA,£1.81
CLNOV,Clean oven,£13.54 EA,£13.54
CLNPATIO,Clean aluminium patio cover,£2.43 M2,£2.43
CLNPATIO-,Clean aluminium patio cover - Light,£1.63 M2,£1.63
CLNPC,PC sum - Cleaning,£0.00 EA,£0.00
CLNPDOR,Clean patio door - Sliding (per side),£20.65 EA,£20.65
CLNPDOR-,Clean patio door - Sliding (per side) - Light,£14.93 EA,£14.93
CLNPDOR+,Clean patio door - Sliding (per side) - Heavy,£27.57 EA,£27.57
CLNPDOR<,Clean patio door - Sliding (per side) - Small,£16.26 EA,£16.26
CLNPDOR<-,Clean patio door - Sliding (per side) - Small - Light,£11.76 EA,£11.76
CLNPDOR<+,Clean patio door - Sliding (per side) - Small - Heavy,£21.70 EA,£21.70
CLNPDOR>,Clean patio door - Sliding (per side) - Large,£25.81 EA,£25.81
CLNPDOR>-,Clean patio door - Sliding (per side) - Large - Light,£18.67 EA,£18.67
CLNPDOR>+,Clean patio door - Sliding (per side) - Large - Heavy,£34.38 EA,£34.38
CLNPEL,Clean pelmet,£1.80 LM,£1.80
CLNPESH,Polythene sheet,£20.00 RL,£20.00
CLNPNL,Clean panelling,£2.04 M2,£2.04
CLNPNL-,Clean panelling - Light,£1.63 M2,£1.63
CLNPNL+,Clean panelling - Heavy,£2.56 M2,£2.56
CLNPWASH,Clean with pressure/chemical spray,£1.84 M2,£1.84
CLNPWASHMN,Pressure/chemical wash - Minimum trade rate,£64.17 EA,£64.17
CLNRAD,Clean radiator unit,£18.33 EA,£18.33
CLNRADC,Clean radiator cover,£6.31 EA,£6.31
CLNREG,Clean register - Heat / AC,£4.55 EA,£4.55
CLNREN,Clean render,£3.46 M2,£3.46
CLNRF,Clean refrigerator,£24.85 EA,£24.85
CLNRISER,Clean stair riser - Per side,£0.85 EA,£0.85
CLNRLF,Clean recessed light fixture,£5.54 EA,£5.54
CLNRUB,Clean window blind - Roll up,£12.57 EA,£12.57
CLNRW,Clean roof window,£9.71 M2,£9.71
CLNSANCHEM,Chemical cleaner - Restoration cream/fluid - Per litre,£5.00 LT,£5.00
CLNSB,Sandblasting,£4.91 M2,£4.91
CLNSB+,Sandblasting - Heavy,£6.57 M2,£6.57
CLNSBH,Clean skirting board heater,£4.25 LM,£4.25
CLNSBMN,Sandblasting - Minimum trade rate,£65.16 EA,£65.16
CLNSCR,Clean fireplace screen,£15.68 EA,£15.68
CLNSCRN,Clean window screen,£6.76 EA,£6.76
CLNSDOR,Clean shower door,£9.28 EA,£9.28
CLNSFTM,Clean soffit - Metal or vinyl,£2.00 M2,£2.00
CLNSFTW,Clean soffit - Wood,£2.14 M2,£2.14
CLNSG,Clean suspended ceiling grid,£1.72 M2,£1.72
CLNSH,Clean deck sheathing,£1.64 M2,£1.64
CLNSHTR,Clean shutter,£4.55 EA,£4.55
CLNSHW,Clean shelving - Wood,£1.57 LM,£1.57
CLNSHWI,Clean shelving - Wire (vinyl coated),£2.99 LM,£2.99
CLNSILT,Clean sill - Tile,£1.64 LM,£1.64
CLNSILW,Clean sill - Wood,£1.23 LM,£1.23
CLNSKB,Clean skirting board,£0.60 LM,£0.60
CLNSKB+,Clean skirting board - Heavy cleaning,£0.74 LM,£0.74
CLNSKY,Clean roof window or skylight,£17.59 EA,£17.59
CLNSKY<,Clean roof window or skylight - Small,£11.02 EA,£11.02
CLNSKY>,Clean roof window or skylight - Large,£24.42 EA,£24.42
CLNSKY>>,Clean roof window or skylight - Extra large,£27.49 EA,£27.49
CLNSMOKE,Clean smoke detector,£3.27 EA,£3.27
CLNSNK,Clean sink,£6.77 EA,£6.77
CLNSNKD,Clean sink - Double,£9.03 EA,£9.03
CLNSNKDTA,Clean sink - Double and tap,£13.52 EA,£13.52
CLNSNKPE,Clean sink - Pedestal,£12.88 EA,£12.88
CLNSNKPTA,Clean sink and tap - Pedestal,£16.10 EA,£16.10
CLNSNKTA,Clean sink and tap,£9.03 EA,£9.03
CLNSPD,Clean soap dispenser,£3.69 EA,£3.69
CLNSRL,Clean shower curtain rail,£3.67 EA,£3.67
CLNST,Clean suspended ceiling tile,£2.96 M2,£2.96
CLNSTD,Clean stud wall,£4.32 M2,£4.32
CLNSTM,Clean {V} with pressure steam,£5.60 M2,£5.60
CLNSTN,Clean stone veneer,£5.05 M2,£5.05
CLNSTOL,Clean window stool & apron,£1.50 LM,£1.50
CLNSTR,Clean stair stringer - Per side,£1.52 LM,£1.52
CLNSWR,Clean shower,£22.55 EA,£22.55
CLNT,Clean floor - Terrazzo,£2.25 M2,£2.25
CLNTAP,Clean sink tap,£5.03 EA,£5.03
CLNTIL,Clean ceramic tile,£2.99 M2,£2.99
CLNTILR,Clean tile roofing,£4.38 M2,£4.38
CLNTLT,Clean toilet/WC,£11.37 EA,£11.37
CLNTLTPS,Clean toilet/WC partition - Per stall,£13.83 EA,£13.83
CLNTLTS,Clean toilet/WC seat,£2.47 EA,£2.47
CLNTRD,Clean stair tread - Per side,£0.85 EA,£0.85
CLNTRIM,Clean trim - Wood,£0.60 LM,£0.60
CLNTRL,Clean towel rail,£3.67 EA,£3.67
CLNTRL-,Clean towel rail - Light,£2.65 EA,£2.65
CLNTRLD,Clean toilet roll dispenser,£3.68 EA,£3.68
CLNTS,Clean thermostat,£6.65 EA,£6.65
CLNUL,Clean floor underlay,£2.42 M2,£2.42
CLNUR,Clean urinal,£11.00 EA,£11.00
CLNV,Clean bathroom vanity unit - Inside and out,£18.16 LM,£18.16
CLNVENT,Clean roof vent,£7.37 EA,£7.37
CLNVF,Clean bathroom vanity unit - Faces only,£11.20 LM,£11.20
CLNWALL,Clean wall - Sugar soap,£2.44 M2,£2.44
CLNWB,Clean whirlpool bath,£24.49 EA,£24.49
CLNWD,Clean window unit (per side) 1m² to 2m²,£7.85 EA,£7.85
CLNWD<,Clean window unit (per side) up to 1m²,£5.50 EA,£5.50
CLNWD>,Clean window unit (per side) 2m² to 4m²,£10.46 EA,£10.46
CLNWD>>,Clean window unit (per side) 4m² to 6m²,£13.36 EA,£13.36
CLNWDU,Clean kitchen waste disposal unit,£6.77 EA,£6.77
CLNWH,Clean water heater,£12.31 EA,£12.31
CLNWM,Clean washing machine,£18.10 EA,£18.10
CLNWPP,Clean waterproof panelling,£1.54 M2,£1.54
CLNWPR,Clean wallpaper,£2.38 M2,£2.38
CLNWS,Clean water softener,£14.72 EA,£14.72
CLNWT,Clean worktop,£4.18 M2,£4.18
CLNWTTL,Clean worktop - Tile,£6.06 M2,£6.06
CLNX,Clean external door (per side),£7.44 EA,£7.44
CLNXLIT,Clean external light fixture,£7.35 EA,£7.35
CLNXLIT-,Clean external light fixture - Light,£5.30 EA,£5.30
CLNXLIT+,Clean external light fixture - Heavy,£10.04 EA,£10.04
,I) CNC CONCRETE & ASPHALT ,,
CNCB150LM,Beam - Precast concrete - 150mm deep - Per lineal metre,£8.18 LM,£8.18
CNCB175LM,Beam - Precast concrete - 175mm deep - Per lineal metre,£9.22 LM,£9.22
CNCB225LM,Beam - Precast concrete - 225mm deep - Per lineal metre,£10.41 LM,£10.41
CNCBB150A,Beam & block 150mm - Alternating spacing,£55.40 M2,£55.40
CNCBB150N,Beam & block 150mm - Narrow spacing,£59.80 M2,£59.80
CNCBB150ND,Beam & block 150mm - Narrow spacing - Double,£63.82 M2,£63.82
CNCBB150W,Beam & block 150mm - Wide spacing,£53.08 M2,£53.08
CNCBB150WD,Beam & block 150mm - Wide spacing - Double,£59.46 M2,£59.46
CNCBB175A,Beam & block 175mm - Alternating spacing,£59.02 M2,£59.02
CNCBB175N,Beam & block 175mm - Narrow spacing,£64.96 M2,£64.96
CNCBB175ND,Beam & block 175mm - Narrow spacing - Double,£72.21 M2,£72.21
CNCBB175W,Beam & block 175mm - Wide spacing,£55.94 M2,£55.94
CNCBB175WD,Beam & block 175mm - Wide spacing - Double,£62.87 M2,£62.87
CNCBB225A,Beam & block 225mm - Alternating spacing,£61.70 M2,£61.70
CNCBB225N,Beam & block 225mm - Narrow spacing,£66.86 M2,£66.86
CNCBB225ND,Beam & block 225mm - Narrow spacing - Double,£74.06 M2,£74.06
