Code,Description,Units,total
CAPDWPX,Clean dishwasher - Portable - External,EA,£9.63
CAPDWPX-,Clean dishwasher - Portable - External - Light clean,EA,£6.45
CAPDWPX+,Clean dishwasher - Portable - External - Heavy clean,EA,£12.16
CAPFAN,Clean electric fan - Portable,EA,£15.79
CAPFAN-,Clean electric fan - Portable - Light clean,EA,£12.17
CAPFAN+,Clean electric fan - Portable - Heavy clean,EA,£19.49
CAPFDP,Clean food processor,EA,£7.78
CAPFDP-,Clean food processor - Light clean,EA,£6.38
CAPFDP+,Clean food processor - Heavy clean,EA,£12.32
CAPFRZ,Clean freezer - Interior and external,EA,£24.32
CAPFRZ-,Clean freezer - Interior and external - Light clean,EA,£19.39
CAPFRZ+,Clean freezer - Interior and external - Heavy clean,EA,£32.24
CAPFRZX,Clean freezer - External,EA,£9.79
CAPFRZX-,Clean freezer - External - Light clean,EA,£6.16
CAPFRZ+,Clean freezer - External - Heavy clean,EA,£14.53
CAPFRZXM,Corrosion mitigation of freezer - External,EA,£6.16
CAPIRN,Clean iron,EA,£3.33
CAPIRN-,Clean iron - Light clean,EA,£1.67
CAPIRN+,Clean iron - Heavy clean,EA,£4.91
CAPLAB,Cleaning - Appliances - Per hour,HR,£20.69
CAPLABM,Cleaning - Technician incl. cleaning agent - Per hour,HR,£21.53
CAPLABR,Cleaning - Remediation Technician - Per hour,HR,£20.69
CAPLABS,Cleaning - Supervisory/Administrative - Per hour,HR,£23.75
CAPMIX,Clean mixer,EA,£4.78
CAPMIX-,Clean mixer - Light clean,EA,£2.47
CAPMIX+,Clean mixer - Heavy clean,EA,£6.53
CAPMW,Clean microwave - Interior and external,EA,£9.76
CAPMW-,Clean microwave - Interior and external - Light clean,EA,£8.24
CAPMW+,Clean microwave - Interior and external - Heavy clean,EA,£11.55
CAPMWX,Clean microwave - External,EA,£6.14
CAPMWX-,Clean microwave - External - Light clean,EA,£4.78
CAPMWX+,Clean microwave - External - Heavy clean,EA,£7.94
CAPPOP,Clean popcorn popper - Electric,EA,£4.78
CAPPOP-,Clean popcorn popper - Electric - Light clean,EA,£3.07
CAPPOP+,Clean popcorn popper - Electric - Heavy clean,EA,£6.26
CAPREST,Provisional sum - Special - Clean/Restore appliance finish,EA,£0.00
CAPRF,Clean refrigerator - Interior and external,EA,£24.06
CAPRF-,Clean refrigerator - Interior and external - Light clean,EA,£19.36
